date,game_id,home_team_fl,team,PTS,ORebs,DRebs,AST,TO,STL,BLK,Fouls,fg_pct,three_pt_pct,ft_pct,efg,pace
11/13/2017,4443580,1, Arkansas St.,83,12,12,9,15,7,1,19,56.00000000000001,50,76.9,63,64.44
11/16/2017,4445371,0,Howard Payne,62,5,5,6,18,2,0,20,31.4,20.7,80,37.3,77.2
11/16/2017,4445371,1,Abilene Christian,112,11,11,24,10,12,3,23,62.7,47.4,79.2,69.39999999999999,76.56
11/20/2017,4449030,0,Lipscomb,75,6,6,13,18,6,0,21,50,33.300000000000004,70,56.49999999999999,74.8
11/20/2017,4449030,1,Abilene Christian,67,6,6,14,16,7,2,20,44.6,30,61.1,50,73.92
11/24/2017,4450692,0,Abilene Christian,85,7,7,21,14,8,4,18,50.8,57.099999999999994,100,56.89999999999999,76.84
11/24/2017,4450692,1, Campbell,80,6,6,15,14,4,7,14,49.1,30,80,54.50000000000001,74
11/25/2017,4451721,0,USC Upstate,88,7,7,17,12,7,2,12,53.7,44.800000000000004,94.39999999999999,65.7,66.92
11/25/2017,4451721,1,Abilene Christian,78,10,10,13,11,8,1,14,46.6,34.8,94.1,53.400000000000006,66.48
11/26/2017,4513575,0,Bowling Green,88,10,10,18,8,2,6,18,53.1,37.5,77.8,57.8,69.92
11/26/2017,4513575,1,Abilene Christian,83,20,20,9,8,4,3,18,41.699999999999996,33.300000000000004,68.2,47.199999999999996,69.68
12/02/2017,4459486,0,Schreiner,43,11,11,6,26,5,3,16,24.4,25,55.60000000000001,31.1,71.88
12/02/2017,4459486,1,Abilene Christian,71,9,9,23,13,19,3,22,46.2,21.099999999999998,50,49.2,75.16
12/06/2017,4458670,0,Abilene Christian,62,7,7,11,13,8,4,16,42.6,36,46.7,50.9,66.6
12/06/2017,4458670,1, Air Force,58,5,5,15,20,5,2,14,49,16.7,62.5,52,69.52000000000001
12/09/2017,4460197,0,Texas St.,68,10,10,13,11,3,3,17,46.400000000000006,37.5,58.8,51.800000000000004,64.48
12/09/2017,4460197,1,Abilene Christian,72,10,10,16,9,4,7,15,44.800000000000004,34.5,58.8,53.400000000000006,64.48
12/17/2017,4463251,0,Abilene Christian,65,7,7,7,25,15,4,28,40.300000000000004,28.599999999999998,81.8,45.2,84.84
12/17/2017,4463251,1, Lipscomb,67,12,12,14,30,8,2,14,38.5,15,77.4,41.3,83.64
12/19/2017,4464328,0,Arlington Baptist,60,13,13,10,21,7,2,9,37.7,41.199999999999996,53.800000000000004,43.4,74.72
12/19/2017,4464328,1,Abilene Christian,109,13,13,30,15,16,11,19,64.3,46.9,66.7,75,74.64
12/22/2017,4465125,0,Abilene Christian,47,8,8,6,11,5,0,26,29.5,20,100,32.800000000000004,67.08
12/22/2017,4465125,1, Texas Tech,74,10,10,16,13,4,4,10,51,38.9,50,58.199999999999996,66.96000000000001
12/28/2017,4465737,0,Abilene Christian,74,5,5,15,17,11,4,31,50,44.4,72,58.3,71
12/28/2017,4465737,1, New Orleans,77,9,9,16,17,10,3,21,50,0,70.19999999999999,50,72.68
12/30/2017,4467071,0,Sam Houston St.,72,10,10,13,15,7,1,23,41.4,42.9,71.39999999999999,49.1,72.24
12/30/2017,4467071,1,Abilene Christian,75,10,10,17,15,6,11,22,45.5,40.9,59.3,53.6,71.88
01/03/2018,4468557,0,McNeese,74,5,5,9,15,4,2,18,46.6,33.300000000000004,63.2,53.400000000000006,76.36
01/03/2018,4468557,1,Abilene Christian,79,4,4,17,11,7,2,20,46.7,25,70.8,51.7,77.56
01/06/2018,4470527,0,Southeastern La.,72,8,8,14,19,3,4,14,52,52.900000000000006,61.1,61,68.92
01/06/2018,4470527,1,Abilene Christian,70,11,11,16,9,8,5,22,43.9,27.800000000000004,53.800000000000004,47.699999999999996,69.72
01/10/2018,4472601,0,Abilene Christian,82,3,3,18,10,7,7,24,54.50000000000001,31.6,72.7,60,71.68
01/10/2018,4472601,1, Houston Baptist,74,13,13,13,16,3,0,20,43.1,41.699999999999996,60.9,51.7,71.12
01/13/2018,4474236,0,Abilene Christian,69,10,10,13,16,9,0,22,43.4,44.4,65.2,50.9,69.12
01/13/2018,4474236,1, Northwestern St.,58,12,12,6,21,3,5,19,39.6,20,58.599999999999994,42.699999999999996,69.75999999999999
01/17/2018,4476514,0,SFA,76,18,18,10,14,11,2,24,39,23.5,72.2,42.4,70.84
01/17/2018,4476514,1,Abilene Christian,66,6,6,15,22,4,8,29,44.2,35.3,75.9,51.2,71.75999999999999
01/20/2018,4482913,0,Abilene Christian,80,11,11,19,11,6,5,20,50,45.5,70,58.9,64.8
01/20/2018,4482913,1, Central Ark.,63,8,8,17,10,7,7,18,40.400000000000006,23.799999999999997,75,44.7,66.04
01/31/2018,4484386,0,Lamar University,69,14,14,13,13,10,0,20,35,37,60.699999999999996,43.3,71.32
01/31/2018,4484386,1,Abilene Christian,74,4,4,22,16,5,5,23,53.1,42.1,66.7,61.199999999999996,70.24000000000001
02/03/2018,4486626,0,Abilene Christian,77,10,10,16,19,5,3,26,53.800000000000004,38.9,66.7,60.6,70.24000000000001
02/03/2018,4486626,1, Sam Houston St.,84,8,8,17,13,6,1,18,48.1,33.300000000000004,81.2,53.7,73.08
02/07/2018,4489078,0,Nicholls St.,69,17,17,13,15,8,1,18,43.3,33.300000000000004,53.300000000000004,50.8,64.6
02/07/2018,4489078,1,Abilene Christian,65,15,15,7,13,8,2,15,41.699999999999996,14.299999999999999,75,44.2,65.04
02/10/2018,4491831,0,Incarnate Word,69,7,7,6,13,9,4,15,40,35,72.2,47.8,66.84
02/10/2018,4491831,1,Abilene Christian,80,17,17,16,17,7,5,27,50,37.5,64.3,57.3,68.16
02/17/2018,4498142,0,Abilene Christian,54,15,15,9,15,7,2,12,33.900000000000006,26.700000000000003,71.39999999999999,37.3,65.16
02/17/2018,4498142,1, Southeastern La.,68,8,8,14,14,4,4,17,50,35,55.60000000000001,56.2,65.96000000000001
02/24/2018,4505290,0,Central Ark.,74,13,13,9,18,6,6,14,43.6,38.5,76.2,52.7,69.24
02/24/2018,4505290,1,Abilene Christian,72,13,13,12,10,11,5,19,47.099999999999994,21.4,50,49.3,69.4
02/28/2018,4510159,0,Abilene Christian,56,10,10,17,23,6,2,20,43.1,38.9,45.5,50,68.84
02/28/2018,4510159,1, SFA,76,6,6,12,12,12,2,17,50,38.1,70,57.4,68.8
03/03/2018,4512684,0,Abilene Christian,69,12,12,10,9,6,1,14,39.300000000000004,30,82.6,44.6,63.120000000000005
03/03/2018,4512684,1, Incarnate Word,59,9,9,3,13,3,9,15,38.9,17.599999999999998,93.30000000000001,41.699999999999996,64.6
03/12/2018,4524116,0,Abilene Christian,73,22,22,14,16,11,8,23,37.2,19.400000000000002,100,40.699999999999996,81.32
03/12/2018,4524116,1, Drake,80,10,10,12,13,11,5,12,38.5,24,82.8,43.1,80.76
11/12/2017,4443518,0,Texas St.,57,7,7,8,20,4,3,14,45.5,38.5,70.6,51.1,64.48
11/12/2017,4443518,1,Air Force,65,10,10,16,11,11,3,21,41.699999999999996,40,77.8,48.3,64.96000000000001
11/14/2017,4444101,0,Canisius,79,14,14,13,14,5,2,29,42.9,31.4,87.5,51.6,70.04
11/14/2017,4444101,1,Air Force,93,11,11,14,14,6,4,20,46,42.9,92.7,55.00000000000001,71.03999999999999
11/20/2017,4449124,0,Ark.-Pine Bluff,47,5,5,8,15,8,5,24,39.6,26.3,50,44.800000000000004,61.52
11/20/2017,4449124,1,Air Force,57,15,15,11,13,5,1,12,30,27.3,77.8,36,59.88
11/21/2017,4449939,0,Pacific,83,9,9,15,15,8,5,18,51.1,52.900000000000006,72.2,60.6,68.84
11/21/2017,4449939,1,Air Force,71,13,13,20,13,5,3,26,38.3,28.1,72.7,45.800000000000004,69.68
11/26/2017,4452334,0,Air Force,69,4,4,16,10,7,1,20,43.1,42.3,88.9,52.6,67.96000000000001
11/26/2017,4452334,1, Colorado,81,12,12,17,15,1,3,16,48.1,38.5,95,57.4,65.8
11/29/2017,4454066,0,Air Force,64,9,9,10,20,7,1,17,45.1,35.3,66.7,51,69.92
11/29/2017,4454066,1, Indiana St.,74,9,9,12,17,12,2,17,46.300000000000004,35.5,72.2,56.49999999999999,69.92
12/02/2017,4458763,0,Air Force,61,8,8,11,14,4,0,20,38.2,25,70.6,44.5,68.48
12/02/2017,4458763,1, Denver,59,7,7,15,23,4,2,20,43.2,42.3,66.7,55.7,66.6
12/04/2017,4457483,0,Western St.,67,4,4,13,19,6,1,22,51,37.5,72.7,60.199999999999996,68.84
12/04/2017,4457483,1,Air Force,79,4,4,16,13,5,1,17,55.60000000000001,45,55.60000000000001,63.9,70.92
12/08/2017,4459530,0,Air Force,48,10,10,10,8,6,2,16,30.4,18.5,52.900000000000006,34.8,61.480000000000004
12/08/2017,4459530,1, UC Riverside,67,4,4,16,12,5,6,16,53.2,30.4,66.7,60.6,61.6
12/17/2017,4463876,0,Army West Point,79,11,11,18,13,10,1,22,42.6,51.6,78.60000000000001,55.7,69.16
12/17/2017,4463876,1,Air Force,54,19,19,9,21,5,3,18,24.6,30,77.3,32.5,68.68
12/22/2017,4465262,0,JWU (Denver),68,5,5,11,12,6,1,17,41.4,40,62.5,50,72.04
12/22/2017,4465262,1,Air Force,111,13,13,26,8,9,1,15,61.4,40.699999999999996,77.8,69.3,72.92
12/27/2017,4465550,0,Air Force,58,15,15,7,17,4,2,15,37.9,18.8,55.00000000000001,40.5,68.8
12/27/2017,4465550,1, New Mexico,87,7,7,21,8,9,4,20,50,42.4,78.60000000000001,61.3,69.16
12/30/2017,4467008,0,Air Force,59,6,6,11,12,3,4,23,37.8,35.3,86.4,44.4,60.68
12/30/2017,4467008,1, Fresno St.,71,9,9,16,14,3,3,24,53.2,41.199999999999996,63.6,60.6,61.68
01/06/2018,4470119,0,Nevada,86,11,11,16,14,5,3,17,52.7,48.4,86.7,66.4,64.6
01/06/2018,4470119,1,Air Force,75,9,9,14,11,6,3,17,52.7,38.1,64.3,60,63.16
01/10/2018,4472837,0,UNLV,81,5,5,18,16,7,3,21,63,50,60.9,72.8,67.12
01/10/2018,4472837,1,Air Force,76,16,16,9,12,7,2,18,41,30,83.3,45.9,67.56
01/13/2018,4474436,0,Air Force,78,14,14,16,8,4,3,19,41.099999999999994,39.4,67.9,52.7,62.31999999999999
01/13/2018,4474436,1, San Jose St.,71,10,10,15,9,4,3,22,47.099999999999994,42.9,63,52.900000000000006,61.88
01/17/2018,4476505,0,Air Force,76,10,10,18,8,6,5,18,39.7,30.8,82.39999999999999,49.2,68.48
01/17/2018,4476505,1, Colorado St.,71,20,20,16,10,6,4,15,37,29.4,80,40.400000000000006,69.6
01/24/2018,4480514,0,Air Force,49,10,10,9,9,8,0,17,32.7,13.600000000000001,66.7,35.5,60.6
01/24/2018,4480514,1, Utah St.,71,6,6,14,11,3,4,15,50,32.1,71.39999999999999,58.699999999999996,63.16
01/27/2018,4482714,0,Boise St.,70,9,9,14,15,3,2,18,46,44.4,100,57.99999999999999,61.28
01/27/2018,4482714,1,Air Force,64,7,7,9,10,10,3,14,41.3,37.5,87,47.8,59.12
02/03/2018,4486759,0,Air Force,50,14,14,17,13,10,1,17,32.800000000000004,22.2,44.4,37.7,63.959999999999994
02/03/2018,4486759,1, San Diego St.,81,12,12,15,14,5,10,14,51.9,42.3,82.39999999999999,62,63.480000000000004
02/06/2018,4488494,0,Colorado St.,73,9,9,11,9,5,4,17,47.599999999999994,28.599999999999998,87.5,52.400000000000006,66.52
