pitch_x,pitch_y,pitch_type,strike
-25,-113,FB,0
-61,4,FB,0
57,101,FB,0
-2,-96,BRK,0
-37,-103,BRK,0
-46,117,FB,0
-14,108,FB,0
19,-104,FB,0
4,56,FB,1
77,-103,BRK,0
3,111,FB,0
-44,-56,BRK,1
43,-60,FB,1
2,-98,FB,0
3,-91,FB,0
6,-68,FB,1
-69,-35,FB,0
-74,-80,FB,0
-83,-30,FB,0
-43,-7,FB,1
-19,-103,FB,0
4,-119,FB,0
-61,-107,FB,0
31,-119,FB,0
-69,-71,FB,0
55,-17,FB,1
-67,34,FB,0
-40,-3,FB,1
16,-105,FB,0
-48,97,FB,0
68,94,FB,0
49,3,FB,1
30,-38,FB,1
-5,-117,BRK,0
14,-105,BRK,0
27,-36,FB,0
6,14,FB,1
-1,67,FB,1
54,107,BRK,0
47,105,BRK,0
19,97,FB,0
57,0,FB,1
0,-94,BRK,0
-35,-1,BRK,1
28,106,BRK,0
-66,-95,BRK,0
-19,4,FB,1
5,111,BRK,0
-85,-60,FB,0
-36,114,FB,0
14,-11,FB,1
-65,-103,FB,0
19,-100,FB,0
-30,-108,FB,0
-35,-107,BRK,0
-78,15,FB,0
2,-68,FB,1
-85,-98,FB,0
4,-30,FB,1
-32,-27,FB,0
34,33,FB,1
-9,125,FB,0
-10,-37,BRK,1
-82,88,FB,0
32,-106,BRK,0
30,-15,BRK,1
64,111,FB,0
24,-30,FB,1
64,-39,BRK,0
79,-96,FB,0
50,-108,FB,0
-95,-82,FB,0
77,-105,FB,0
85,-74,FB,0
-80,-89,FB,0
-90,-20,FB,0
51,-15,FB,1
-69,-31,BRK,0
53,-94,BRK,0
5,-16,FB,1
76,-12,FB,0
-14,-8,FB,1
-68,-99,BRK,0
-8,-102,FB,0
30,17,BRK,1
-5,-20,FB,0
25,-61,FB,1
-31,111,FB,0
-83,-98,BRK,0
20,-1,FB,1
-71,-79,FB,0
-40,-88,BRK,0
32,-54,FB,1
-80,-70,FB,0
-6,-92,FB,0
6,-32,BRK,1
15,-104,FB,0
18,9,BRK,1
21,-90,BRK,0
-9,101,CHG,0
-2,-103,BRK,0
-32,96,FB,0
-43,91,FB,0
1,-100,BRK,0
32,-103,FB,0
18,-99,BRK,0
18,-94,BRK,0
-23,106,BRK,0
7,-116,FB,0
-9,96,FB,0
2,-100,FB,0
22,17,BRK,1
50,-44,FB,1
71,-103,BRK,0
31,-49,FB,0
5,35,FB,1
-44,-1,FB,1
29,-85,BRK,0
26,-107,FB,0
-23,95,FB,0
14,69,FB,1
-25,106,FB,0
-30,9,FB,1
10,46,FB,1
3,101,BRK,0
-23,-93,FB,0
-10,95,FB,0
4,-49,FB,1
25,-8,FB,1
-9,-8,BRK,1
4,-110,BRK,0
23,99,BRK,0
-10,116,FB,0
18,21,FB,0
-1,114,FB,0
21,106,FB,0
-40,-107,FB,0
-57,104,FB,0
33,103,FB,0
28,-109,FB,0
81,106,BRK,0
-18,-5,FB,1
-47,-70,FB,0
-71,-49,FB,0
-59,-35,FB,0
-22,26,BRK,1
-43,-52,BRK,0
-7,-64,FB,0
-47,-30,FB,1
-78,-33,FB,0
42,-42,FB,1
79,-30,BRK,0
3,-62,FB,0
38,-48,FB,0
-70,-22,FB,0
46,-19,BRK,0
1,-99,FB,0
43,-6,FB,1
-83,-93,FB,0
-23,-93,FB,0
44,93,FB,0
71,-6,FB,0
80,41,FB,0
-17,-79,FB,0
36,-83,FB,0
54,39,FB,0
27,80,CHG,0
88,82,CHG,0
57,-34,FB,0
-43,-23,FB,1
-1,117,BRK,0
38,73,FB,0
-69,-59,FB,0
-73,-23,FB,0
19,92,BRK,0
-14,-82,FB,0
51,116,FB,0
-52,-98,FB,0
-73,-86,FB,0
38,6,FB,1
37,96,FB,0
9,81,BRK,0
69,43,FB,0
67,13,FB,0
47,-27,FB,1
11,-90,FB,0
44,-49,FB,1
54,-35,BRK,1
-6,-86,FB,0
-77,54,FB,0
29,-95,FB,0
73,41,FB,0
31,-93,FB,0
49,-65,FB,0
17,101,FB,0
5,103,FB,0
-43,-7,FB,1
-43,-52,FB,0
-46,10,FB,1
78,125,FB,0
57,-52,FB,0
68,-56,FB,0
63,-82,FB,0
31,-95,FB,0
58,53,FB,0
-33,-10,FB,1
60,57,FB,0
-14,-65,BRK,0
-35,-40,FB,1
80,40,FB,0
48,-35,FB,1
-47,71,FB,0
0,0,FB,1
66,49,BRK,0
-41,39,FB,1
-39,-18,FB,0
3,-57,BRK,1
43,-83,FB,0
-2,-93,FB,0
45,-46,FB,1
72,-60,FB,0
33,-52,FB,1
-30,-64,BRK,1
-63,-19,FB,0
8,75,FB,0
-26,-53,FB,1
41,0,FB,1
-5,-85,FB,0
-30,-64,FB,0
-29,-66,BRK,0
65,-55,FB,0
-41,14,FB,1
36,-41,FB,1
64,-40,FB,0
-44,-23,FB,1
-45,-31,FB,1
-4,-88,BRK,0
-49,-99,FB,0
-25,104,FB,0
-45,-59,BRK,1
99,67,BRK,0
-43,-96,FB,0
-74,-103,FB,0
62,29,FB,0
9,46,FB,0
7,-89,FB,0
-74,-86,FB,0
18,-83,FB,0
45,24,FB,1
-68,-81,FB,0
22,-69,FB,1
-10,-100,FB,0
24,29,BRK,1
-49,-34,BRK,1
-79,-56,FB,0
86,-11,FB,0
-2,111,FB,0
55,25,FB,1
-76,-96,FB,0
-45,-75,FB,0
-59,-9,FB,0
54,-30,FB,1
71,-46,BRK,0
-53,28,BRK,0
36,-40,BRK,0
-62,56,FB,0
60,-71,FB,0
22,-49,BRK,0
42,-96,FB,0
-38,-16,FB,1
21,-93,FB,0
46,-73,FB,0
10,-32,FB,1
-56,-67,FB,0
74,-93,FB,0
49,-103,FB,0
35,-61,FB,1
-64,122,FB,0
25,-89,FB,0
68,-85,FB,0
0,0,FB,0
-40,100,FB,0
85,-35,FB,0
66,-54,FB,0
49,-93,FB,0
-10,-56,FB,1
55,-100,FB,0
-6,39,FB,1
70,-107,FB,0
-62,-60,FB,0
-70,94,FB,0
85,-71,BRK,0
-73,85,FB,0
-43,111,FB,0
-47,-84,CHG,0
40,-35,FB,1
