fg_pct_diff,rebs_diff,TO_diff,score_diff
-0.09000000000000002,12,-1,13
0.06,19,-5,25
-0.14,-4,-4,-17
0.010000000000000009,-6,-5,8
-0.040000000000000036,17,-2,9
-0.020000000000000018,23,-1,13
0.13,3,2,12
0.04999999999999999,5,3,-3
-0.020000000000000018,20,2,8
0.18999999999999995,10,0,26
0.10000000000000003,4,0,18
0.37,35,-9,73
0,1,3,-6
0.030000000000000027,7,-10,23
0.04999999999999999,3,-2,5
-0.02999999999999997,-4,-5,5
-0.22,-6,-2,-22
0.09000000000000002,1,-4,6
0.050000000000000044,16,-13,38
-0.17000000000000004,-10,-4,-20
0.02999999999999997,19,3,9
0.15000000000000002,31,0,30
0.03999999999999998,-13,-3,2
0.050000000000000044,-6,-2,6
0.13,-11,-12,18
0.010000000000000009,18,-1,7
0.28,9,-6,46
0.03999999999999998,14,5,10
0.06,5,-5,12
-0.04999999999999999,-4,-15,12
0.02999999999999997,-6,2,-2
0.35,12,2,35
0.04999999999999999,11,-5,15
0.06999999999999995,-2,-7,17
-0.010000000000000009,9,-2,5
0,7,6,6
0.09000000000000002,-19,-1,7
-0.03999999999999998,-5,4,-15
0.26,20,-18,62
0.2,17,1,33
-0.07,14,6,-12
0.010000000000000009,-6,-4,13
0.020000000000000018,17,4,15
0.28,21,-4,47
0,3,-7,11
0.04999999999999999,4,-3,6
0.24000000000000005,7,-1,35
0.030000000000000027,-19,-6,1
0.03999999999999998,-2,-5,11
0.06,-2,-5,18
0.030000000000000027,10,-2,6
0.19,5,4,18
0.2,7,-3,21
-0.04999999999999999,-3,-3,-9
0.15000000000000002,6,-9,27
0.16999999999999998,28,10,22
0.020000000000000018,2,-3,16
0.07000000000000006,1,-12,28
0.08000000000000007,13,-2,23
-0.010000000000000009,11,1,12
0.18,11,-6,30
0.04999999999999999,0,3,10
0.03999999999999998,-6,-6,4
0.14,-5,-4,11
0.09000000000000002,1,-9,17
0.22999999999999998,22,-8,34
0.16999999999999998,20,9,13
0.26,6,1,24
0.06,7,-3,5
0.14,4,-1,25
-0.020000000000000018,-1,-10,9
-0.07,-13,-1,-8
0.030000000000000027,5,3,-6
0.18999999999999995,11,0,27
0.26999999999999996,-9,-1,10
0.16000000000000003,16,-2,30
0.08999999999999997,14,8,9
0.08999999999999997,11,-2,17
-0.03999999999999998,0,4,-7
0.13000000000000006,14,2,20
0.09000000000000002,-8,3,5
0.21000000000000002,8,-1,16
0.08999999999999997,8,1,18
-0.04999999999999999,5,-5,9
-0.07,-1,6,-14
-0.010000000000000009,-6,-2,-3
0.21000000000000002,0,5,20
0.12999999999999995,13,3,14
0.21000000000000002,24,-3,50
-0.08000000000000002,12,-8,8
0.04999999999999999,4,3,5
0.040000000000000036,-6,-2,2
0.020000000000000018,-1,-4,1
0.10000000000000003,-10,-2,1
0.19000000000000006,5,-3,26
0.030000000000000027,12,-1,15
0.27999999999999997,21,-1,42
0.03999999999999998,10,0,10
-0.13,-8,-13,1
0.040000000000000036,-7,1,-3
0.13,-3,-9,22
0.04999999999999999,1,3,4
-0.010000000000000009,-7,-5,9
0.10000000000000003,-7,-3,16
0.06,5,-6,20
0.04999999999999999,7,-2,10
0.07,4,7,-3
0.08000000000000007,0,-4,22
0.009999999999999953,2,-1,8
0.010000000000000009,14,-3,14
0.22000000000000003,-2,0,19
0.04999999999999999,0,-5,7
-0.07,3,4,1
0.010000000000000009,-1,-10,17
0.15999999999999998,10,0,26
0.010000000000000009,17,8,3
-0.04999999999999999,-6,-7,2
-0.02999999999999997,16,-7,18
-0.08999999999999997,10,11,-4
0.25,3,5,22
